Benchmark                                         (fileName)  (zstdLevel)   Mode  Cnt     Score     Error  Units
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json            1  thrpt    5   167.087 ±   0.509  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json            2  thrpt    5   161.986 ±   0.415  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json            3  thrpt    5   141.434 ±   0.450  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json            4  thrpt    5   137.556 ±   0.597  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json            5  thrpt    5    78.949 ±   0.194  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json            6  thrpt    5    57.895 ±   0.256  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json            7  thrpt    5    49.922 ±   0.198  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json            8  thrpt    5    40.237 ±   0.373  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json            9  thrpt    5    34.482 ±   0.115  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json           10  thrpt    5    23.530 ±   0.786  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json           11  thrpt    5    18.810 ±   0.118  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json           12  thrpt    5    14.684 ±   0.083  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json           13  thrpt    5     3.918 ±   0.024  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json           14  thrpt    5     2.494 ±   0.013  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json           15  thrpt    5     1.874 ±   0.014  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json           16  thrpt    5     3.589 ±   0.006  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json           17  thrpt    5     3.176 ±   0.007  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json           18  thrpt    5     2.616 ±   0.026  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json           19  thrpt    5     2.180 ±   0.014  ops/s
ZstdCompressBenchmark.compressPlainJson      /gsoc-2018.json           20  thrpt    5     2.101 ±   0.030  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json            1  thrpt    5   179.224 ±   0.600  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json            2  thrpt    5   177.832 ±   0.691  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json            3  thrpt    5   149.712 ±   0.799  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json            4  thrpt    5   145.508 ±   0.430  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json            5  thrpt    5    88.995 ±   0.270  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json            6  thrpt    5    63.341 ±   0.448  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json            7  thrpt    5    54.874 ±   0.151  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json            8  thrpt    5    43.894 ±   0.282  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json            9  thrpt    5    38.448 ±   0.129  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json           10  thrpt    5    24.658 ±   0.040  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json           11  thrpt    5    19.827 ±   0.070  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json           12  thrpt    5    15.117 ±   0.327  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json           13  thrpt    5     4.436 ±   0.049  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json           14  thrpt    5     2.858 ±   0.016  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json           15  thrpt    5     2.247 ±   0.016  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json           16  thrpt    5     4.092 ±   0.034  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json           17  thrpt    5     3.587 ±   0.050  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json           18  thrpt    5     3.032 ±   0.033  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json           19  thrpt    5     2.770 ±   0.025  ops/s
ZstdCompressBenchmark.compressSmileJson      /gsoc-2018.json           20  thrpt    5     2.637 ±   0.019  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json            1  thrpt    5  1830.384 ±  10.449  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json            2  thrpt    5  1778.928 ±  10.824  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json            3  thrpt    5  1503.127 ±  13.459  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json            4  thrpt    5  1527.193 ±   6.193  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json            5  thrpt    5   607.330 ±   1.986  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json            6  thrpt    5   495.363 ±   1.849  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json            7  thrpt    5   463.617 ±   1.632  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json            8  thrpt    5   400.185 ±   2.008  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json            9  thrpt    5   330.506 ±   1.570  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           10  thrpt    5   294.216 ±   3.988  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           11  thrpt    5   252.639 ±   1.255  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           12  thrpt    5   252.161 ±   1.255  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           13  thrpt    5    79.233 ±   0.448  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           14  thrpt    5    54.100 ±   0.338  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           15  thrpt    5    39.323 ±   0.114  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           16  thrpt    5    24.464 ±   0.082  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           17  thrpt    5    22.842 ±   0.039  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           18  thrpt    5    18.931 ±   0.064  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           19  thrpt    5     8.609 ±   0.042  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           20  thrpt    5     8.614 ±   0.021  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            1  thrpt    5  3163.403 ±  17.968  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            2  thrpt    5  2377.118 ±  12.354  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            3  thrpt    5  2041.196 ±   4.401  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            4  thrpt    5  1219.054 ±   4.613  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            5  thrpt    5  1099.146 ±   4.789  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            6  thrpt    5   910.409 ±   5.244  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            7  thrpt    5   820.928 ±   1.758  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            8  thrpt    5   686.150 ±   2.663  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            9  thrpt    5   609.848 ±   1.969  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           10  thrpt    5   533.050 ±   1.777  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           11  thrpt    5   124.881 ±   1.065  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           12  thrpt    5    81.883 ±   2.639  ops/s
